,delay_rate,delay_rate,delay_rate,arr_del15,arr_flights,avg_delay_minutes
,mean,std,count,sum,sum,mean
airport,,,,,,
FNL,0.0,,1,0.0,1.0,0.0
IYK,0.0334,0.0319,4,7.0,160.0,0.8762
LWS,0.0664,0.0495,97,419.0,6256.0,3.7831
BTM,0.0714,0.0543,97,395.0,5574.0,5.483
EKO,0.075,0.0542,97,369.0,5224.0,6.4544
SPN,0.0756,0.0705,42,115.0,1389.0,3.9252
PIH,0.087,0.0579,97,626.0,7094.0,5.0969
LMT,0.0887,0.0579,11,59.0,614.0,4.6809
TWF,0.0956,0.0682,97,740.0,7371.0,5.7866
WYS,0.0964,0.0563,41,197.0,2069.0,3.777
HIB,0.0979,0.064,97,583.0,5943.0,7.3337
SUN,0.1045,0.0671,109,1340.0,11406.0,6.2474
VCT,0.1051,0.0529,20,105.0,1024.0,10.0295
BRD,0.108,0.0589,97,615.0,5636.0,10.4925
ALW,0.1082,0.0634,16,84.0,719.0,5.8483
OTZ,0.1084,0.0643,97,619.0,5785.0,5.0313
ABR,0.109,0.0669,97,649.0,5978.0,8.9474
BJI,0.1104,0.0661,97,650.0,5929.0,9.8048
ADQ,0.1122,0.0543,97,591.0,5220.0,5.5531
BET,0.1135,0.0667,97,790.0,7162.0,5.5654
ADK,0.1145,0.1184,97,97.0,843.0,5.2494
TBN,0.1148,0.0556,10,55.0,489.0,10.2665
INL,0.1168,0.0617,97,591.0,5091.0,8.1362
RHI,0.1171,0.0632,97,814.0,7065.0,10.3818
SCC,0.1186,0.073,102,739.0,6431.0,7.1258
HLN,0.1192,0.063,113,1433.0,12666.0,6.9825
IMT,0.1227,0.0614,97,681.0,5539.0,8.78
SWO,0.1239,0.0636,46,379.0,2883.0,7.9682
PUW,0.1249,0.0573,12,172.0,1382.0,6.1321
GST,0.1262,0.1056,27,88.0,697.0,5.8678
CDC,0.1312,0.0719,97,674.0,5211.0,5.9396
SGU,0.132,0.0699,100,2516.0,19661.0,7.3155
