,delay_rate,delay_rate,delay_rate,arr_del15,arr_flights,avg_delay_minutes
,mean,std,count,sum,sum,mean
carrier,,,,,,
DL,0.1436,0.0783,13855,1063003.0,7332461.0,8.8548
AS,0.1554,0.0849,6655,270714.0,1663776.0,7.144
9E,0.1634,0.1034,4994,162172.0,988078.0,11.3083
QX,0.1667,0.1087,567,14497.0,88791.0,8.4295
YX,0.1699,0.1037,3689,206648.0,1164965.0,10.6174
FL,0.1789,0.1111,599,25226.0,143429.0,7.9907
OO,0.18,0.1047,20049,993148.0,5554606.0,12.3609
US,0.1803,0.09,1708,134516.0,784157.0,8.531
VX,0.1902,0.0981,1132,64605.0,301907.0,10.4505
OH,0.2011,0.0918,4018,174615.0,911112.0,12.5864
YV,0.202,0.1154,4038,122293.0,618284.0,14.9181
MQ,0.2022,0.1051,9544,390388.0,1885988.0,10.7808
HA,0.2047,0.1509,1749,81448.0,626309.0,9.6924
EV,0.2076,0.1147,10961,564935.0,2734754.0,13.9435
UA,0.2107,0.1043,9114,926930.0,4709181.0,13.8991
WN,0.2204,0.0787,8810,2172629.0,10496301.0,11.0883
G4,0.222,0.1327,5328,103799.0,398987.0,14.7024
AA,0.2251,0.0925,9432,1353925.0,6666855.0,14.1067
NK,0.2257,0.1007,3497,277382.0,1199613.0,15.0738
B6,0.2481,0.1022,6151,578452.0,2262832.0,16.6512
F9,0.2561,0.1261,6805,251517.0,930626.0,16.7313
