feature,importance
seasonal_delay_rate,0.4026337049852584
arr_flights_log,0.3142073988997183
arr_del15_log,0.2047538449304867
arr_delay,0.06943965369871428
year,0.0024477863363023614
years_since_baseline,0.002316074481016713
carrier_winter_risk,0.0006239686694625733
avg_late_aircraft_pct,0.00032628485259701895
avg_weather_pct,0.0003069080545081393
total_disruption_rate,0.00029146534983419593
avg_nas_pct,0.00028560451446435383
cancellation_rate,0.000278131977276709
avg_carrier_pct,0.0002685414805162252
carrier_historical_delay_rate,0.0002436280317884234
airport_historical_delay_rate,0.00023230804171506968
airport,0.0002203968981236732
carrier,0.00018973048285244495
system_congestion_occurred,0.00014534591341002433
month,0.00014203518013077604
month_cos,0.00013403483258156548
month_sin,0.00012201760829226517
airport_holiday_risk,9.648060629884237e-05
cascade_delay_occurred,9.19300733274577e-05
carrier_peak_risk,6.500524244856215e-05
avg_security_pct,3.9600569772295636e-05
holiday_period,1.6178031678879202e-05
winter_weather_season,1.4196505201268399e-05
weather_impact_occurred,1.3040991672220375e-05
diversion_rate,1.2364103058834398e-05
peak_summer,1.0439661780068761e-05
arr_cancelled_log,8.818964621693662e-06
arr_cancelled,8.743020863398517e-06
operational_stress_level,5.766474666964147e-06
carrier_issues_occurred,4.503914950777742e-06
arr_diverted_log,2.180530257410155e-06
security_incident_occurred,1.2086626734271718e-06
arr_diverted,6.774276777685427e-07
diversion_occurred,0.0
