,delay_rate,delay_rate,delay_rate,arr_del15,arr_flights,avg_delay_minutes
,mean,std,count,sum,sum,mean
month,,,,,,
1,0.2114,0.1141,11009,801273.0,4068604.0,13.473
2,0.2028,0.1044,10843,724925.0,3746604.0,12.6167
3,0.1939,0.1043,10953,829845.0,4365068.0,11.557
4,0.1871,0.1043,10985,791971.0,4224650.0,11.7214
5,0.1906,0.1018,10928,834263.0,4373851.0,11.8425
6,0.2368,0.1115,11255,1030857.0,4405870.0,15.7779
7,0.2302,0.1098,10989,1031943.0,4554293.0,15.5011
8,0.2109,0.0995,12483,1053139.0,5078106.0,13.5395
9,0.1519,0.0902,10799,610380.0,4108077.0,8.8764
10,0.1582,0.0932,10737,662961.0,4289369.0,8.9865
11,0.1665,0.0978,10796,642463.0,4073515.0,9.5621
12,0.2256,0.1126,10918,918822.0,4175005.0,14.2422
